gen,desired_array_size,P_ref,t_TES_hours,solarm,PPA_USD_per_MWh,CF_hybrid,CF_pb,LCOE,Annual_Revenue_USD,PV_to_Grid_MWh,CSP_to_Grid_MWh,fitness_PPA,fitness_CF,status,note,timestamp
1,52500.0,187.0,5.5,2.2,45.511413231809755,0.5352967071602321,0.22972598233451888,135.8326291487481,36442294.86394933,92601.18929054127,376318.7261818221,45.511413231809755,0.5352967071602321,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828803+00:00
1,298000.0,80.0,5.0,1.3,45.3946179709763,0.49654967978493203,0.17452394650099443,124.85474842456041,30631658.037053384,312671.13778370357,122306.38170789689,45.3946179709763,0.49654967978493203,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828807+00:00
1,174500.0,117.0,12.0,2.5,41.18496232219135,0.6206592692536427,0.27173946890887096,118.99019501145717,36165720.61095607,265186.3033921109,278511.21647408005,41.18496232219135,0.6206592692536427,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828811+00:00
1,207500.0,168.0,6.5,3.5,48.11269083649193,0.6342727400628974,0.18511616226871425,136.05900174692363,42717639.967941836,283191.16660747677,272431.7536876214,48.11269083649193,0.6342727400628974,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828815+00:00
1,237500.0,102.0,5.5,1.3,40.945962623314315,0.5270699003746699,0.18609683967703455,117.59491157955836,30811285.859164596,295431.98453998694,166281.24818822392,40.945962623314315,0.5270699003746699,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828821+00:00
1,91000.0,63.0,10.0,1.1,46.701514682176935,0.2928438353845699,0.17411651209906434,125.98750980237627,18226504.961668067,160439.77909965155,96091.42069723163,46.701514682176935,0.2928438353845699,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828825+00:00
1,241500.0,197.0,10.5,2.2,46.84451977552123,0.7655441349690968,0.21663239805076126,126.90947658001407,48235512.38812364,296769.8002687691,373846.8619641597,46.84451977552123,0.7655441349690968,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828829+00:00
1,202000.0,118.0,7.5,1.7000000000000002,38.9715350098313,0.5994209613399063,0.23659470414109815,111.88137656156404,33265063.445747614,280529.5483571876,244563.21377657034,38.9715350098313,0.5994209613399063,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828833+00:00
1,55500.0,92.0,9.0,1.9000000000000001,42.89675643858049,0.33727029876305054,0.2451459399574096,136.6318490561841,22825183.025428623,97880.76578595668,197568.01593047555,42.89675643858049,0.33727029876305054,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828837+00:00
2,208000.0,115.0,6.0,1.2000000000000002,39.47847996056276,0.5459740006798548,0.1934196990574691,113.33032671252356,30877581.44890727,283422.2197650584,194851.00483049438,39.47847996056276,0.5459740006798548,ok,offspring; n_jobs=4,2025-11-21T20:10:14.404908+00:00
2,171500.0,150.0,6.0,1.1,40.17496612521173,0.5791954171111591,0.1857558299822736,114.03859592062608,33216647.83426848,263292.02479266777,244083.16059670752,40.17496612521173,0.5791954171111591,ok,offspring; n_jobs=4,2025-11-21T20:10:14.404942+00:00
2,136000.0,102.0,5.5,1.3,38.642996425083076,0.4669029651006319,0.19734453107835387,110.68468076858119,25812252.924075935,232675.71201902282,176331.28540913074,38.642996425083076,0.4669029651006319,ok,offspring; n_jobs=4,2025-11-21T20:10:14.404956+00:00
2,244000.0,184.0,5.5,2.1,48.23060988998098,0.6741978072477584,0.18178809541023777,135.86845868053013,45584998.83605023,297583.9554429986,293013.32370603766,48.23060988998098,0.6741978072477584,ok,offspring; n_jobs=4,2025-11-21T20:10:14.404971+00:00
2,150500.0,198.0,4.0,2.9000000000000004,52.79774362192391,0.5467011052559625,0.13357037030065433,152.74438615358832,41790306.28255693,247235.03232514422,231675.13587907894,52.79774362192391,0.5467011052559625,ok,offspring; n_jobs=4,2025-11-21T20:10:14.404981+00:00
2,238000.0,102.0,5.5,1.3,40.96374070434554,0.5272697632186673,0.18610942030468508,117.64763714456608,30836181.441510648,295595.8233489103,166292.4892306422,40.96374070434554,0.5272697632186673,ok,offspring; n_jobs=4,2025-11-21T20:10:14.404990+00:00
2,207500.0,123.0,6.5,3.4000000000000004,45.67065562954298,0.5851463498024907,0.21290143280571802,133.7225221811751,38366242.1059027,283191.16660747677,229397.03581950505,45.67065562954298,0.5851463498024907,ok,offspring; n_jobs=4,2025-11-21T20:10:14.404999+00:00
2,298000.0,166.0,12.0,2.9000000000000004,47.19383036019432,0.7633021683249377,0.24480219622939833,128.84036004398928,48427634.04752892,312671.13778370357,355981.56166894187,47.19383036019432,0.7633021683249377,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405009+00:00
2,298000.0,84.0,12.0,1.2000000000000002,40.01322946749335,0.5823556917532514,0.2683632966298987,111.64242315493863,32024467.722664066,312671.13778370357,197472.44819214466,40.01322946749335,0.5823556917532514,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405019+00:00
2,207500.0,118.0,7.5,1.7000000000000002,39.10415795567098,0.6026241123409989,0.23673434312673006,112.21180566111204,33535595.440574784,283191.16660747677,244707.55580323833,39.10415795567098,0.6026241123409989,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405032+00:00
2,210000.0,188.0,7.5,1.7000000000000002,44.818352777141975,0.7420701955427917,0.22205199250312505,121.36310941350848,44835318.22999967,284360.5058819389,365692.98541354656,44.818352777141975,0.7420701955427917,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405040+00:00
2,55500.0,89.0,9.0,2.1,43.71070097742706,0.3339833179259387,0.2497160493524776,138.85311972639872,22901892.31211267,97880.76578595668,194688.62071716564,43.71070097742706,0.3339833179259387,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405048+00:00
2,203000.0,179.0,5.5,2.1,46.83153883608353,0.6521444362565427,0.1851067083808162,132.7958556520225,43107149.2498593,281023.8031512764,290254.723009455,46.83153883608353,0.6521444362565427,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405058+00:00
2,137000.0,89.0,10.0,1.7000000000000002,38.277278225662855,0.4811940903674455,0.24078257189804955,109.05588052584312,25933480.215854608,233802.2988072869,187723.72435459535,38.277278225662855,0.4811940903674455,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405067+00:00
2,235000.0,197.0,8.0,3.2,49.08320233250978,0.7124852552013321,0.1909802367779009,133.39856751957365,47208215.97300844,294558.6693440078,329578.4142123592,49.08320233250978,0.7124852552013321,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405076+00:00
2,196000.0,68.0,10.5,2.1,38.45413660750693,0.5115541932100965,0.2864990322196245,105.11526407791207,26337673.2949623,277459.7297394586,170661.74351258593,38.45413660750693,0.5115541932100965,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405084+00:00
2,298000.0,197.0,4.5,1.2000000000000002,49.03322103058026,0.657526214221078,0.15258664550098558,138.2671107204957,45685302.77819812,312671.13778370357,263321.82587396086,49.03322103058026,0.657526214221078,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405092+00:00
2,240500.0,80.0,11.0,2.3000000000000003,39.34307194756422,0.5859401107164095,0.30941652121350677,108.93863846165523,31244776.147779446,296444.4389211492,216839.09806642556,39.34307194756422,0.5859401107164095,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405101+00:00
2,274000.0,59.0,8.5,1.5,40.41461679438521,0.5076867313786848,0.26767540010817426,109.4781431988685,27254092.25368799,306388.22289581917,138345.35379190877,40.41461679438521,0.5076867313786848,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405110+00:00
2,113500.0,115.0,6.5,3.2,44.17618527317739,0.508166038863588,0.24356212906325087,132.16197045468755,32910151.08645478,199788.96122618415,245364.48881831893,44.17618527317739,0.508166038863588,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405119+00:00
2,117000.0,72.0,15.0,2.9000000000000004,43.632310502175564,0.4202223253712424,0.2572847227681327,125.23691889154837,25591275.400524125,205840.1366808917,162274.62034431665,43.632310502175564,0.4202223253712424,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405127+00:00
2,168500.0,112.0,6.5,1.4000000000000001,38.25896692574869,0.5350034132498412,0.2113239345500327,110.12608438999733,29367369.513443902,261328.8513411328,207334.1386657281,38.25896692574869,0.5350034132498412,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405136+00:00
2,202000.0,118.0,5.5,1.7000000000000002,41.31980604252813,0.549729128521848,0.19448298141393003,120.1871744773928,32829844.040740907,280529.5483571876,201033.1682279512,41.31980604252813,0.549729128521848,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405144+00:00
2,142500.0,184.0,7.5,2.1,44.03848339452277,0.6799345796928001,0.2208559054312008,121.65608523267153,41206916.289911464,239638.30920066615,355984.3826102267,44.03848339452277,0.6799345796928001,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405152+00:00
2,173500.0,152.0,12.0,2.8000000000000003,43.94867033174196,0.668960299391886,0.24141345299903644,124.06378993742527,40854068.08336885,264562.3813300151,321446.840937277,43.94867033174196,0.668960299391886,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405161+00:00
2,294500.0,120.0,6.0,1.1,42.21656650686864,0.5865356258774811,0.1921657581717021,121.20106436766032,35404168.843024775,311800.56327858014,202004.64499009325,42.21656650686864,0.5865356258774811,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405169+00:00
2,263000.0,149.0,5.5,2.3000000000000003,48.06351710730626,0.6289813983609323,0.18975225184684566,139.31661462989214,43275206.46716075,303315.4757635998,247672.22920057684,48.06351710730626,0.6289813983609323,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405177+00:00
2,171500.0,75.0,6.0,1.1,39.596892087610634,0.4384377651369862,0.18383479066565012,107.4280275966275,23351600.942645036,263292.02479266777,120779.45746733213,39.596892087610634,0.4384377651369862,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405184+00:00
2,174500.0,117.0,12.0,2.5,41.18496232219135,0.6206592692536427,0.27173946890887096,118.99019501145717,36165720.61095607,265186.3033921109,278511.21647408005,41.18496232219135,0.6206592692536427,ok,offspring; n_jobs=4,2025-11-21T20:10:14.405193+00:00
